diagnostic_label,sentence_index,phase,step,selection,selected_event_count,distinct_creation_transitions,maximum_same_origin_events,provenance_coherent_fraction,branch_entropy,source_coherence,minimum_source_jaccard,matches_historical_winner_set,raw_predicted_columns,burst_columns,burst_cells,active_cells_after_observe,winners_after_observe,beam_width,lambda_coherence,lambda_support,decoded_correct,expected_word_present,propagated_columns
nonpaper diagnostic,1,cue,1,raw,3,1,3,0.3,0.0,0.24591953073014017,0.16129032258064516,False,82,7,63,73,10,,,,,,
nonpaper diagnostic,1,cue,2,raw,0,0,0,0.0,0.0,0.0,0.0,False,94,10,91,100,10,,,,,,
nonpaper diagnostic,1,cue,3,raw,5,1,5,0.5,0.0,0.8105263157894737,0.5263157894736842,False,32,5,48,55,10,,,,,,
nonpaper diagnostic,1,cue,4,raw,5,1,5,0.5,0.0,1.0,1.0,False,55,5,46,55,10,,,,,,
nonpaper diagnostic,1,cue,5,raw,3,2,2,0.2,0.9182958340544894,0.33879781420765026,0.00819672131147541,False,48,7,66,73,10,,,,,,
nonpaper diagnostic,1,suffix,1,raw,10,8,2,0.2,0.9739760316291209,0.10699500947248632,0.0,False,86,,,,,1,0.0,0.0,False,True,86
nonpaper diagnostic,1,suffix,2,raw,10,5,4,0.4,0.9138646883853215,0.18598795860761383,0.0,False,51,,,,,1,0.0,0.0,False,False,51
nonpaper diagnostic,1,suffix,3,raw,9,7,2,0.2,0.9708357627258161,0.4444444444444444,0.0,False,58,,,,,1,0.0,0.0,False,False,58
nonpaper diagnostic,1,suffix,4,raw,9,6,4,0.4,0.8824252235446577,0.23585060887207077,0.0,False,30,,,,,1,0.0,0.0,False,False,30
nonpaper diagnostic,2,cue,1,raw,1,1,1,0.1,0.0,0.0,0.0,False,84,9,82,91,10,,,,,,
nonpaper diagnostic,2,cue,2,raw,5,1,5,0.5,0.0,1.0,1.0,False,77,5,45,55,10,,,,,,
nonpaper diagnostic,2,cue,3,raw,7,1,7,0.7,0.0,1.0,1.0,False,42,3,27,37,10,,,,,,
nonpaper diagnostic,2,cue,4,raw,3,1,3,0.3,0.0,1.0,1.0,False,40,7,65,73,10,,,,,,
nonpaper diagnostic,2,cue,5,raw,5,2,4,0.4,0.7219280948873623,0.6177777777777778,0.044444444444444446,False,60,5,45,55,10,,,,,,
nonpaper diagnostic,2,suffix,1,raw,10,6,4,0.4,0.8982444017039272,0.22708112213139592,0.0,False,77,,,,,1,0.0,0.0,False,False,77
nonpaper diagnostic,2,suffix,2,raw,10,5,6,0.6,0.7627069065377661,0.3352733187806145,0.0,False,58,,,,,1,0.0,0.0,False,True,58
nonpaper diagnostic,2,suffix,3,raw,10,2,9,0.9,0.46899559358928117,0.8,0.0,False,39,,,,,1,0.0,0.0,False,False,39
nonpaper diagnostic,2,suffix,4,raw,9,2,7,0.7,0.7642045065086203,0.5987654320987654,0.0,False,32,,,,,1,0.0,0.0,False,False,32
nonpaper diagnostic,3,cue,1,raw,6,1,6,0.6,0.0,1.0,1.0,False,56,4,36,46,10,,,,,,
nonpaper diagnostic,3,cue,2,raw,9,1,9,0.9,0.0,1.0,1.0,False,12,1,10,19,10,,,,,,
nonpaper diagnostic,3,cue,3,raw,8,1,8,0.8,0.0,1.0,1.0,False,8,2,20,28,10,,,,,,
nonpaper diagnostic,3,cue,4,raw,8,1,8,0.8,0.0,0.6071428571428571,0.3333333333333333,False,17,2,20,28,10,,,,,,
nonpaper diagnostic,3,cue,5,raw,6,2,5,0.5,0.6500224216483541,0.6666666666666666,0.0,False,33,4,39,46,10,,,,,,
nonpaper diagnostic,3,suffix,1,raw,10,5,3,0.3,0.9674887648835618,0.14236551656579605,0.0,False,27,,,,,1,0.0,0.0,True,True,27
nonpaper diagnostic,3,suffix,2,raw,8,3,4,0.4,0.946394630357186,0.2736613876319759,0.0,False,12,,,,,1,0.0,0.0,True,True,12
nonpaper diagnostic,3,suffix,3,raw,1,1,1,0.1,0.0,0.0,0.0,False,1,,,,,1,0.0,0.0,False,False,1
nonpaper diagnostic,4,cue,1,raw,6,3,4,0.4,0.7896900821428474,0.45168542402584955,0.017857142857142856,False,37,4,37,46,10,,,,,,
nonpaper diagnostic,4,cue,2,raw,3,1,3,0.3,0.0,0.6842105263157894,0.5263157894736842,False,86,7,63,73,10,,,,,,
nonpaper diagnostic,4,cue,3,raw,7,1,7,0.7,0.0,1.0,1.0,False,25,3,28,37,10,,,,,,
nonpaper diagnostic,4,cue,4,raw,9,1,9,0.9,0.0,1.0,1.0,False,49,1,10,19,10,,,,,,
nonpaper diagnostic,4,cue,5,raw,7,1,7,0.7,0.0,1.0,1.0,False,12,3,29,37,10,,,,,,
nonpaper diagnostic,4,suffix,1,raw,9,6,3,0.3,0.935944697445866,0.14498770137084674,0.0,False,23,,,,,1,0.0,0.0,False,True,23
nonpaper diagnostic,4,suffix,2,raw,6,1,6,0.6,0.0,1.0,1.0,False,6,,,,,1,0.0,0.0,False,False,6
nonpaper diagnostic,4,suffix,3,raw,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,1,0.0,0.0,False,False,9
nonpaper diagnostic,4,suffix,4,raw,9,1,9,0.9,0.0,0.736842105263158,0.5263157894736842,False,9,,,,,1,0.0,0.0,False,False,9
nonpaper diagnostic,5,cue,1,raw,10,1,10,1.0,0.0,0.9,0.5,True,43,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,2,raw,10,1,10,1.0,0.0,1.0,1.0,True,10,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,3,raw,10,1,10,1.0,0.0,0.3414618519787825,0.06896551724137931,True,31,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,4,raw,3,1,3,0.3,0.0,0.5145969498910675,0.4,False,58,7,63,73,10,,,,,,
nonpaper diagnostic,5,cue,5,raw,5,1,5,0.5,0.0,1.0,1.0,False,70,5,46,55,10,,,,,,
nonpaper diagnostic,5,suffix,1,raw,9,2,8,0.8,0.5032583347756457,0.782716049382716,0.022222222222222223,False,13,,,,,1,0.0,0.0,True,True,13
nonpaper diagnostic,5,suffix,2,raw,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,1,0.0,0.0,True,True,9
nonpaper diagnostic,5,suffix,3,raw,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,1,0.0,0.0,False,False,9
nonpaper diagnostic,5,suffix,4,raw,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,1,0.0,0.0,False,False,9
nonpaper diagnostic,6,cue,1,raw,2,1,2,0.2,0.0,1.0,1.0,False,84,8,72,82,10,,,,,,
nonpaper diagnostic,6,cue,2,raw,7,2,6,0.6,0.5916727785823274,0.7186813186813187,0.015384615384615385,False,55,3,27,37,10,,,,,,
nonpaper diagnostic,6,cue,3,raw,8,2,7,0.7,0.5435644431995964,0.75,0.0,False,32,2,20,28,10,,,,,,
nonpaper diagnostic,6,cue,4,raw,9,1,9,0.9,0.0,1.0,1.0,False,11,1,10,19,10,,,,,,
nonpaper diagnostic,6,cue,5,raw,7,1,7,0.7,0.0,1.0,1.0,False,12,3,30,37,10,,,,,,
nonpaper diagnostic,6,suffix,1,raw,10,4,5,0.5,0.8804820237218407,0.32894947899841537,0.0,False,41,,,,,1,0.0,0.0,True,True,41
nonpaper diagnostic,6,suffix,2,raw,9,4,5,0.5,0.8288713632524444,0.2833429418557551,0.0,False,57,,,,,1,0.0,0.0,True,True,57
nonpaper diagnostic,6,suffix,3,raw,8,4,2,0.2,1.0,0.15037593984962405,0.0,False,29,,,,,1,0.0,0.0,False,True,29
nonpaper diagnostic,6,suffix,4,raw,8,4,3,0.3,0.9056390622295664,0.6057700509670952,0.3333333333333333,False,23,,,,,1,0.0,0.0,False,False,23
nonpaper diagnostic,7,cue,1,raw,3,1,3,0.3,0.0,1.0,1.0,False,88,7,63,73,10,,,,,,
nonpaper diagnostic,7,cue,2,raw,7,1,7,0.7,0.0,1.0,1.0,False,35,3,29,37,10,,,,,,
nonpaper diagnostic,7,cue,3,raw,8,1,8,0.8,0.0,0.8392857142857143,0.35714285714285715,False,8,2,20,28,10,,,,,,
nonpaper diagnostic,7,cue,4,raw,7,1,7,0.7,0.0,0.7894736842105262,0.2631578947368421,False,48,3,29,37,10,,,,,,
nonpaper diagnostic,7,cue,5,raw,7,2,6,0.6,0.5916727785823274,0.7293233082706767,0.05263157894736842,False,32,3,28,37,10,,,,,,
nonpaper diagnostic,7,suffix,1,raw,10,4,5,0.5,0.8427376486136672,0.3083618710457828,0.0,False,43,,,,,1,0.0,0.0,True,True,43
nonpaper diagnostic,7,suffix,2,raw,10,8,2,0.2,0.9739760316291209,0.4202017455750152,0.0,False,72,,,,,1,0.0,0.0,False,False,72
nonpaper diagnostic,7,suffix,3,raw,9,6,3,0.3,0.935944697445866,0.0970823763732233,0.0,False,50,,,,,1,0.0,0.0,False,True,50
nonpaper diagnostic,7,suffix,4,raw,9,3,6,0.6,0.7725068857142601,0.45436507936507936,0.0,False,43,,,,,1,0.0,0.0,False,False,43
nonpaper diagnostic,8,cue,1,raw,3,1,3,0.3,0.0,0.24591953073014017,0.16129032258064516,False,82,7,63,73,10,,,,,,
nonpaper diagnostic,8,cue,2,raw,2,2,1,0.1,1.0,0.0,0.0,False,94,8,72,82,10,,,,,,
nonpaper diagnostic,8,cue,3,raw,4,1,4,0.4,0.0,1.0,1.0,False,56,6,55,64,10,,,,,,
nonpaper diagnostic,8,cue,4,raw,7,1,7,0.7,0.0,1.0,1.0,False,44,3,28,37,10,,,,,,
nonpaper diagnostic,8,cue,5,raw,3,1,3,0.3,0.0,1.0,1.0,False,34,7,66,73,10,,,,,,
nonpaper diagnostic,8,suffix,1,raw,10,9,2,0.2,0.9848586617875463,0.11366922346647902,0.0,False,97,,,,,1,0.0,0.0,False,False,97
nonpaper diagnostic,8,suffix,2,raw,10,7,4,0.4,0.8983289127685206,0.20489586735279183,0.0,False,74,,,,,1,0.0,0.0,False,True,74
nonpaper diagnostic,8,suffix,3,raw,10,4,4,0.4,0.8609640474436813,0.2719015017046575,0.0,False,58,,,,,1,0.0,0.0,False,True,58
nonpaper diagnostic,8,suffix,4,raw,9,7,3,0.3,0.9409583900892994,0.17734611998967326,0.0,False,73,,,,,1,0.0,0.0,False,False,73
nonpaper diagnostic,9,cue,1,raw,3,1,3,0.3,0.0,0.7619047619047619,0.6428571428571429,False,82,7,63,73,10,,,,,,
nonpaper diagnostic,9,cue,2,raw,7,1,7,0.7,0.0,1.0,1.0,False,19,3,29,37,10,,,,,,
nonpaper diagnostic,9,cue,3,raw,1,1,1,0.1,0.0,0.0,0.0,False,89,9,82,91,10,,,,,,
nonpaper diagnostic,9,cue,4,raw,4,2,3,0.3,0.8112781244591328,0.5045045045045046,0.009009009009009009,False,41,6,58,64,10,,,,,,
nonpaper diagnostic,9,cue,5,raw,1,1,1,0.1,0.0,0.0,0.0,False,97,9,81,91,10,,,,,,
nonpaper diagnostic,9,suffix,1,raw,10,4,6,0.6,0.7854752972273344,0.4550890492346961,0.037037037037037035,False,60,,,,,1,0.0,0.0,False,True,60
nonpaper diagnostic,9,suffix,2,raw,10,7,3,0.3,0.94268071481726,0.11481927491125021,0.0,False,44,,,,,1,0.0,0.0,False,True,44
nonpaper diagnostic,9,suffix,3,raw,10,5,5,0.5,0.8445412464587144,0.2570524744545497,0.0,False,51,,,,,1,0.0,0.0,False,False,51
nonpaper diagnostic,9,suffix,4,raw,9,5,5,0.5,0.809656833416415,0.2923976608187135,0.0,False,31,,,,,1,0.0,0.0,False,False,31
nonpaper diagnostic,10,cue,1,raw,7,1,7,0.7,0.0,0.6031960676991103,0.2777777777777778,False,62,3,27,37,10,,,,,,
nonpaper diagnostic,10,cue,2,raw,8,1,8,0.8,0.0,1.0,1.0,False,39,2,20,28,10,,,,,,
nonpaper diagnostic,10,cue,3,raw,5,2,4,0.4,0.7219280948873623,0.45,0.0,False,48,5,47,55,10,,,,,,
nonpaper diagnostic,10,cue,4,raw,6,1,6,0.6,0.0,1.0,1.0,False,32,4,36,46,10,,,,,,
nonpaper diagnostic,10,cue,5,raw,5,1,5,0.5,0.0,1.0,1.0,False,82,5,45,55,10,,,,,,
nonpaper diagnostic,10,suffix,1,raw,10,5,5,0.5,0.8445412464587144,0.19315985808038572,0.0,False,75,,,,,1,0.0,0.0,False,True,75
nonpaper diagnostic,10,suffix,2,raw,10,5,6,0.6,0.7627069065377661,0.5539094650205761,0.0,False,65,,,,,1,0.0,0.0,False,False,65
nonpaper diagnostic,10,suffix,3,raw,10,5,4,0.4,0.9138646883853215,0.19955207166853303,0.0,False,38,,,,,1,0.0,0.0,False,False,38
nonpaper diagnostic,10,suffix,4,raw,9,3,4,0.4,0.965633607142825,0.2777777777777778,0.0,False,17,,,,,1,0.0,0.0,False,False,17
nonpaper diagnostic,11,cue,1,raw,2,1,2,0.2,0.0,1.0,1.0,False,46,8,74,82,10,,,,,,
nonpaper diagnostic,11,cue,2,raw,4,1,4,0.4,0.0,0.5588235294117647,0.11764705882352941,False,89,6,54,64,10,,,,,,
nonpaper diagnostic,11,cue,3,raw,5,1,5,0.5,0.0,0.8105263157894737,0.5263157894736842,False,82,5,45,55,10,,,,,,
nonpaper diagnostic,11,cue,4,raw,6,1,6,0.6,0.0,1.0,1.0,False,47,4,36,46,10,,,,,,
nonpaper diagnostic,11,cue,5,raw,6,1,6,0.6,0.0,0.762962962962963,0.5555555555555556,False,50,4,39,46,10,,,,,,
nonpaper diagnostic,11,suffix,1,raw,10,6,4,0.4,0.8982444017039272,0.2765736478151291,0.0,False,77,,,,,1,0.0,0.0,False,True,77
nonpaper diagnostic,11,suffix,2,raw,10,5,3,0.3,0.9349775297671233,0.14513650243191933,0.0,False,58,,,,,1,0.0,0.0,False,False,58
nonpaper diagnostic,11,suffix,3,raw,10,6,4,0.4,0.8982444017039272,0.16722014978697872,0.0,False,44,,,,,1,0.0,0.0,False,False,44
nonpaper diagnostic,11,suffix,4,raw,10,6,3,0.3,0.9464119282150146,0.1501844649939024,0.0,False,43,,,,,1,0.0,0.0,False,False,43
nonpaper diagnostic,12,cue,1,raw,6,1,6,0.6,0.0,1.0,1.0,False,55,4,39,46,10,,,,,,
nonpaper diagnostic,12,cue,2,raw,4,1,4,0.4,0.0,1.0,1.0,False,11,6,60,64,10,,,,,,
nonpaper diagnostic,12,cue,3,raw,1,1,1,0.1,0.0,0.0,0.0,False,97,9,81,91,10,,,,,,
nonpaper diagnostic,12,cue,4,raw,8,1,8,0.8,0.0,1.0,1.0,False,57,2,18,28,10,,,,,,
nonpaper diagnostic,12,cue,5,raw,6,1,6,0.6,0.0,1.0,1.0,False,17,4,40,46,10,,,,,,
nonpaper diagnostic,12,suffix,1,raw,10,7,4,0.4,0.8983289127685206,0.2031039448795452,0.0,False,77,,,,,1,0.0,0.0,True,True,77
nonpaper diagnostic,12,suffix,2,raw,10,6,4,0.4,0.8982444017039272,0.19459413872669235,0.0,False,65,,,,,1,0.0,0.0,False,False,65
nonpaper diagnostic,12,suffix,3,raw,10,4,5,0.5,0.8804820237218407,0.33505319048209636,0.13986013986013987,False,72,,,,,1,0.0,0.0,False,False,72
nonpaper diagnostic,12,suffix,4,raw,10,5,4,0.4,0.9138646883853215,0.18142509916230898,0.0,False,84,,,,,1,0.0,0.0,False,False,84
nonpaper diagnostic,13,cue,1,raw,5,1,5,0.5,0.0,0.7333333333333333,0.3333333333333333,False,88,5,46,55,10,,,,,,
nonpaper diagnostic,13,cue,2,raw,10,1,10,1.0,0.0,1.0,1.0,True,25,0,0,10,10,,,,,,
nonpaper diagnostic,13,cue,3,raw,8,1,8,0.8,0.0,1.0,1.0,False,8,2,20,28,10,,,,,,
nonpaper diagnostic,13,cue,4,raw,7,1,7,0.7,0.0,0.7619047619047619,0.5,False,18,3,28,37,10,,,,,,
nonpaper diagnostic,13,cue,5,raw,8,3,6,0.6,0.6695919455357792,0.5510582010582011,0.012345679012345678,False,43,2,20,28,10,,,,,,
nonpaper diagnostic,13,suffix,1,raw,8,2,7,0.7,0.5435644431995964,0.7777777777777778,0.1111111111111111,False,15,,,,,1,0.0,0.0,True,True,15
nonpaper diagnostic,13,suffix,2,raw,2,1,2,0.2,0.0,1.0,1.0,False,3,,,,,1,0.0,0.0,True,True,3
nonpaper diagnostic,13,suffix,3,raw,4,1,4,0.4,0.0,0.5499769369773378,0.48936170212765956,False,5,,,,,1,0.0,0.0,False,False,5
nonpaper diagnostic,13,suffix,4,raw,9,9,1,0.1,1.0,0.5569264428154174,0.07368421052631578,False,30,,,,,1,0.0,0.0,False,False,30
nonpaper diagnostic,14,cue,1,raw,4,1,4,0.4,0.0,1.0,1.0,False,37,6,56,64,10,,,,,,
nonpaper diagnostic,14,cue,2,raw,6,3,3,0.3,0.920619835714305,0.25756895534149177,0.0,False,41,4,36,46,10,,,,,,
nonpaper diagnostic,14,cue,3,raw,4,1,4,0.4,0.0,0.75,0.5,False,92,6,54,64,10,,,,,,
nonpaper diagnostic,14,cue,4,raw,2,1,2,0.2,0.0,1.0,1.0,False,68,8,74,82,10,,,,,,
nonpaper diagnostic,14,cue,5,raw,9,1,9,0.9,0.0,1.0,1.0,False,72,1,9,19,10,,,,,,
nonpaper diagnostic,14,suffix,1,raw,9,2,8,0.8,0.5032583347756457,0.7807407407407407,0.013333333333333334,False,14,,,,,1,0.0,0.0,True,True,14
nonpaper diagnostic,14,suffix,2,raw,10,1,10,1.0,0.0,1.0,1.0,True,10,,,,,1,0.0,0.0,True,True,10
nonpaper diagnostic,14,suffix,3,raw,9,1,9,0.9,0.0,1.0,1.0,False,8,,,,,1,0.0,0.0,False,True,8
nonpaper diagnostic,14,suffix,4,raw,8,1,8,0.8,0.0,1.0,1.0,False,8,,,,,1,0.0,0.0,False,False,8
nonpaper diagnostic,15,cue,1,raw,10,1,10,1.0,0.0,1.0,1.0,True,39,0,0,10,10,,,,,,
nonpaper diagnostic,15,cue,2,raw,7,1,7,0.7,0.0,1.0,1.0,False,7,3,30,37,10,,,,,,
nonpaper diagnostic,15,cue,3,raw,3,2,2,0.2,0.9182958340544894,0.3475177304964539,0.02127659574468085,False,38,7,66,73,10,,,,,,
nonpaper diagnostic,15,cue,4,raw,3,1,3,0.3,0.0,0.48408057179987,0.37037037037037035,False,91,7,63,73,10,,,,,,
nonpaper diagnostic,15,cue,5,raw,3,1,3,0.3,0.0,1.0,1.0,False,76,7,63,73,10,,,,,,
nonpaper diagnostic,15,suffix,1,raw,10,5,6,0.6,0.7627069065377661,0.358942266875988,0.0,False,28,,,,,1,0.0,0.0,True,True,28
nonpaper diagnostic,15,suffix,2,raw,9,4,5,0.5,0.8288713632524444,0.33298711784754687,0.0,False,17,,,,,1,0.0,0.0,True,True,17
nonpaper diagnostic,15,suffix,3,raw,10,3,8,0.8,0.5816718657178868,0.6222222222222222,0.0,False,23,,,,,1,0.0,0.0,False,False,23
nonpaper diagnostic,15,suffix,4,raw,9,2,8,0.8,0.5032583347756457,0.7777777777777778,0.0,False,21,,,,,1,0.0,0.0,False,False,21
nonpaper diagnostic,16,cue,1,raw,0,0,0,0.0,0.0,0.0,0.0,False,82,10,91,100,10,,,,,,
nonpaper diagnostic,16,cue,2,raw,2,1,2,0.2,0.0,1.0,1.0,False,83,8,72,82,10,,,,,,
nonpaper diagnostic,16,cue,3,raw,2,1,2,0.2,0.0,1.0,1.0,False,94,8,72,82,10,,,,,,
nonpaper diagnostic,16,cue,4,raw,5,1,5,0.5,0.0,0.45434196648306574,0.21739130434782608,False,95,5,45,55,10,,,,,,
nonpaper diagnostic,16,cue,5,raw,8,1,8,0.8,0.0,1.0,1.0,False,63,2,18,28,10,,,,,,
nonpaper diagnostic,16,suffix,1,raw,8,1,8,0.8,0.0,1.0,1.0,False,8,,,,,1,0.0,0.0,True,True,8
nonpaper diagnostic,16,suffix,2,raw,6,1,6,0.6,0.0,1.0,1.0,False,4,,,,,1,0.0,0.0,True,True,4
nonpaper diagnostic,16,suffix,3,raw,3,2,2,0.2,0.9182958340544894,0.3116331689381486,0.2,False,4,,,,,1,0.0,0.0,False,False,4
nonpaper diagnostic,17,cue,1,raw,5,1,5,0.5,0.0,1.0,1.0,False,41,5,46,55,10,,,,,,
nonpaper diagnostic,17,cue,2,raw,6,1,6,0.6,0.0,0.7122507122507122,0.46153846153846156,False,87,4,36,46,10,,,,,,
nonpaper diagnostic,17,cue,3,raw,8,1,8,0.8,0.0,1.0,1.0,False,18,2,19,28,10,,,,,,
nonpaper diagnostic,17,cue,4,raw,2,1,2,0.2,0.0,1.0,1.0,False,54,8,76,82,10,,,,,,
nonpaper diagnostic,17,cue,5,raw,9,2,8,0.8,0.5032583347756457,0.7804878048780488,0.012195121951219513,False,24,1,9,19,10,,,,,,
nonpaper diagnostic,17,suffix,1,raw,10,6,4,0.4,0.8982444017039272,0.18174922650800113,0.0,False,51,,,,,1,0.0,0.0,False,True,51
nonpaper diagnostic,17,suffix,2,raw,10,4,4,0.4,0.9609640474436812,0.21100281568117826,0.0,False,79,,,,,1,0.0,0.0,False,False,79
nonpaper diagnostic,17,suffix,3,raw,9,6,3,0.3,0.935944697445866,0.09401544617493125,0.0,False,56,,,,,1,0.0,0.0,False,False,56
nonpaper diagnostic,17,suffix,4,raw,9,6,4,0.4,0.8824252235446577,0.19964809033642159,0.0,False,35,,,,,1,0.0,0.0,False,False,35
nonpaper diagnostic,18,cue,1,raw,2,1,2,0.2,0.0,1.0,1.0,False,88,8,72,82,10,,,,,,
nonpaper diagnostic,18,cue,2,raw,5,1,5,0.5,0.0,1.0,1.0,False,23,5,47,55,10,,,,,,
nonpaper diagnostic,18,cue,3,raw,1,1,1,0.1,0.0,0.0,0.0,False,86,9,82,91,10,,,,,,
nonpaper diagnostic,18,cue,4,raw,7,1,7,0.7,0.0,1.0,1.0,False,66,3,28,37,10,,,,,,
nonpaper diagnostic,18,cue,5,raw,8,3,6,0.6,0.6695919455357792,0.48095652986120513,0.017543859649122806,False,34,2,20,28,10,,,,,,
nonpaper diagnostic,18,suffix,1,raw,9,7,2,0.2,0.9708357627258161,0.17319388287251178,0.0,False,29,,,,,1,0.0,0.0,False,True,29
nonpaper diagnostic,18,suffix,2,raw,8,6,3,0.3,0.9306282244165778,0.31806052855924977,0.0,False,40,,,,,1,0.0,0.0,False,False,40
nonpaper diagnostic,18,suffix,3,raw,7,3,3,0.3,0.914100892018565,0.2857142857142857,0.0,False,19,,,,,1,0.0,0.0,False,False,19
nonpaper diagnostic,18,suffix,4,raw,7,4,3,0.3,0.9211854965885543,0.5646507296753602,0.3333333333333333,False,12,,,,,1,0.0,0.0,False,False,12
nonpaper diagnostic,19,cue,1,raw,0,0,0,0.0,0.0,0.0,0.0,False,82,10,91,100,10,,,,,,
nonpaper diagnostic,19,cue,2,raw,7,1,7,0.7,0.0,1.0,1.0,False,46,3,27,37,10,,,,,,
nonpaper diagnostic,19,cue,3,raw,8,1,8,0.8,0.0,1.0,1.0,False,40,2,19,28,10,,,,,,
nonpaper diagnostic,19,cue,4,raw,8,1,8,0.8,0.0,1.0,1.0,False,25,2,19,28,10,,,,,,
nonpaper diagnostic,19,cue,5,raw,7,1,7,0.7,0.0,1.0,1.0,False,8,3,30,37,10,,,,,,
nonpaper diagnostic,19,suffix,1,raw,10,5,6,0.6,0.7627069065377661,0.3468206486391109,0.0,False,29,,,,,1,0.0,0.0,True,True,29
nonpaper diagnostic,19,suffix,2,raw,10,8,2,0.2,0.9739760316291209,0.3767444497269412,0.07874015748031496,False,26,,,,,1,0.0,0.0,False,False,26
nonpaper diagnostic,19,suffix,3,raw,6,2,5,0.5,0.6500224216483541,0.6810035842293907,0.043010752688172046,False,8,,,,,1,0.0,0.0,False,False,8
nonpaper diagnostic,19,suffix,4,raw,7,4,3,0.3,0.9211854965885543,0.32730008378211484,0.16483516483516483,False,12,,,,,1,0.0,0.0,False,False,12
nonpaper diagnostic,20,cue,1,raw,5,2,4,0.4,0.7219280948873623,0.6,0.0,False,70,5,45,55,10,,,,,,
nonpaper diagnostic,20,cue,2,raw,8,2,7,0.7,0.5435644431995964,0.6465413533834586,0.16,False,26,2,18,28,10,,,,,,
nonpaper diagnostic,20,cue,3,raw,8,1,8,0.8,0.0,1.0,1.0,False,40,2,18,28,10,,,,,,
nonpaper diagnostic,20,cue,4,raw,7,2,6,0.6,0.5916727785823274,0.7193877551020409,0.017857142857142856,False,14,3,28,37,10,,,,,,
nonpaper diagnostic,20,cue,5,raw,6,1,6,0.6,0.0,1.0,1.0,False,31,4,38,46,10,,,,,,
nonpaper diagnostic,20,suffix,1,raw,10,5,3,0.3,0.9349775297671233,0.17366176614921386,0.0,False,53,,,,,1,0.0,0.0,True,True,53
nonpaper diagnostic,20,suffix,2,raw,10,5,5,0.5,0.8445412464587144,0.2741570237650865,0.0,False,27,,,,,1,0.0,0.0,True,True,27
nonpaper diagnostic,20,suffix,3,raw,9,4,6,0.6,0.7233083338141042,0.4388888888888889,0.0,False,18,,,,,1,0.0,0.0,False,False,18
nonpaper diagnostic,20,suffix,4,raw,9,5,4,0.4,0.886682880001534,0.360025696888442,0.0,False,47,,,,,1,0.0,0.0,False,False,47
nonpaper diagnostic,21,cue,1,raw,6,1,6,0.6,0.0,1.0,1.0,False,62,4,37,46,10,,,,,,
nonpaper diagnostic,21,cue,2,raw,7,1,7,0.7,0.0,1.0,1.0,False,32,3,27,37,10,,,,,,
nonpaper diagnostic,21,cue,3,raw,9,1,9,0.9,0.0,1.0,1.0,False,15,1,9,19,10,,,,,,
nonpaper diagnostic,21,cue,4,raw,9,1,9,0.9,0.0,1.0,1.0,False,18,1,10,19,10,,,,,,
nonpaper diagnostic,21,cue,5,raw,6,1,6,0.6,0.0,1.0,1.0,False,32,4,37,46,10,,,,,,
nonpaper diagnostic,21,suffix,1,raw,10,9,2,0.2,0.9848586617875463,0.16686384591450812,0.02702702702702703,False,91,,,,,1,0.0,0.0,False,True,91
nonpaper diagnostic,21,suffix,2,raw,10,7,3,0.3,0.94268071481726,0.1544841952591843,0.0,False,95,,,,,1,0.0,0.0,False,False,95
nonpaper diagnostic,21,suffix,3,raw,10,6,3,0.3,0.9464119282150146,0.12290716730924607,0.0,False,57,,,,,1,0.0,0.0,False,False,57
nonpaper diagnostic,21,suffix,4,raw,9,2,6,0.6,0.9182958340544894,0.5,0.0,False,49,,,,,1,0.0,0.0,False,False,49
nonpaper diagnostic,22,cue,1,raw,4,1,4,0.4,0.0,1.0,1.0,False,84,6,54,64,10,,,,,,
nonpaper diagnostic,22,cue,2,raw,2,1,2,0.2,0.0,1.0,1.0,False,33,8,77,82,10,,,,,,
nonpaper diagnostic,22,cue,3,raw,5,3,3,0.3,0.8649735207179272,0.3968831168831169,0.08571428571428572,False,98,5,45,55,10,,,,,,
nonpaper diagnostic,22,cue,4,raw,9,1,9,0.9,0.0,1.0,1.0,False,12,1,10,19,10,,,,,,
nonpaper diagnostic,22,cue,5,raw,1,1,1,0.1,0.0,0.0,0.0,False,65,9,82,91,10,,,,,,
nonpaper diagnostic,22,suffix,1,raw,10,6,3,0.3,0.9172088932791937,0.2090951137015808,0.0,False,57,,,,,1,0.0,0.0,True,True,57
nonpaper diagnostic,22,suffix,2,raw,10,3,6,0.6,0.8173454221465101,0.4035087719298246,0.0,False,31,,,,,1,0.0,0.0,False,True,31
nonpaper diagnostic,22,suffix,3,raw,9,2,6,0.6,0.9182958340544894,0.5,0.0,False,15,,,,,1,0.0,0.0,False,False,15
nonpaper diagnostic,22,suffix,4,raw,8,4,3,0.3,0.9056390622295664,0.2509704968944099,0.0,False,13,,,,,1,0.0,0.0,False,False,13
nonpaper diagnostic,23,cue,1,raw,2,1,2,0.2,0.0,1.0,1.0,False,84,8,72,82,10,,,,,,
